spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
1137,1,0,0,g,11709,1668,Energy value in kJ (protein = N x 6.25),not OK,red,<,1334.4,OR,>,2001.6,,,
1137,1,0,0,g,11710,395,Energy value in kcal (protein = N x 6.25),not OK,red,<,316,OR,>,474,,,
1137,1,0,0,g,5244,10.7,Carbohydrates*,not OK,red,<,8.56,OR,>,12.84,,,
1137,1,0,0,g,5252,6.2,fibers,not OK,red,<,4.2,OR,>,8.2,,,
1137,1,0,0,g,5239,6.3,"Fat, Total",not OK,red,<,4.8,OR,>,7.8,,,
1137,1,0,0,g,5245,5,Sugar,not OK,red,<,3,OR,>,7,,,
1137,1,0,0,g,11423,70.8,"Protein, N x 6.25",not OK,red,<,62.8,OR,>,78.8,,,
1137,1,0,0,g,11440,1.5,Salt from sodium,not OK,red,<,1.2,OR,>,1.8,,,
1137,1,0,0,,5299,,Sodium_10873,,,,,,,,,,
1137,1,0,0,,5240,,Fatty acid*,,,,,,,,,,
1137,1,0,0,,5246,,"Sugar, total",,,,,,,,,,
1137,1,0,0,,5247,,Fructose,,,,,,,,,,
1137,1,0,0,,5248,,Glucose,,,,,,,,,,
1137,1,0,0,,5249,,Sucrose,,,,,,,,,,
1137,1,0,0,,5250,,Maltose,,,,,,,,,,
1137,1,0,0,,5251,,Lactose,,,,,,,,,,
1137,1,0,0,,5444,,"Fatty acid, saturated",,,,,,,,,,
1137,1,0,0,,5445,,"Fatty acid, monounsaturated",,,,,,,,,,
1137,1,0,0,,5446,,"Fatty acid, polyunsaturated",,,,,,,,,,
1137,1,0,0,,11249,,Ash,,,,,,,,,,
1137,1,0,0,,11377,,Air humidity,,,,,,,,,,
1137,1,0,0,,12016,,moisture,,,,,,,,,,
