spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,param_package,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
1205,1,0,0,mg/kg,10568,0.01,Chlorobromuron,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10573,0.01,"Chlordane, oxy-",GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10576,0.01,Bromuconazole,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10578,0.01,Chlorodimeform,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10596,0.01,Cadusafos,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10615,0.01,Chlorothiophos,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10623,0.01,Cinosulfuron,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10633,0.01,Climbazole,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10638,0.01,Cloquintocet-Mexyl,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10650,0.01,Cyanofenphos,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10654,0.01,Cyantraniliprole,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10661,0.01,Cyenopygraphs,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10662,0.01,Diclobutrazol,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10663,0.01,Cyflufenamide,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10674,0.01,Cyproconazole,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10680,0.01,"DDD-o,p",GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10686,0.01,"DDE-p,p",GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10688,0.01,Difenacoum,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10699,0.01,Diflubenzuron,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10706,0.01,Dimethenamide,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10708,0.01,Dimethoate,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10709,0.01,Etaconazole,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10710,0.01,Dimethomorphs,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
