spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
1136,1,0,0,g,11709,1686,Energy value in kJ (protein = N x 6.25),perfect,green,>=,1348.8,AND,<=,2023.2,,,
1136,1,0,0,g,11710,399,Energy value in kcal (protein = N x 6.25),perfect,green,>=,319.2,AND,<=,478.8,,,
1136,1,0,0,g,5244,4.8,Carbohydrates*,perfect,green,>=,2.8,AND,<=,6.8,,,
1136,1,0,0,g,5252,3.7,fibers,perfect,green,>=,1.7,AND,<=,5.7,,,
1136,1,0,0,g,5239,5.8,"Fat, Total",perfect,green,>=,3.8,AND,<=,7.8,,,
1136,1,0,0,g,5245,0.4,Sugar,perfect,green,>=,0,AND,<=,2.4,,,
1136,1,0,0,g,11423,80,"Protein, N x 6.25",perfect,green,>=,72,AND,<=,88,,,
1136,1,0,0,g,11440,1.71,Salt from sodium,perfect,green,>=,1.368,AND,<=,2.052,,,
1136,1,0,0,,5299,,Sodium_10873,perfect,green,!=,"""""",,,,,,
1136,1,0,0,,5240,,Fatty acid*,perfect,green,!=,"""""",,,,,,
1136,1,0,0,,5246,,"Sugar, total",perfect,green,!=,"""""",,,,,,
1136,1,0,0,,5247,,Fructose,perfect,green,!=,"""""",,,,,,
1136,1,0,0,,5248,,Glucose,perfect,green,!=,"""""",,,,,,
1136,1,0,0,,5249,,Sucrose,perfect,green,!=,"""""",,,,,,
1136,1,0,0,,5250,,Maltose,perfect,green,!=,"""""",,,,,,
1136,1,0,0,,5251,,Lactose,perfect,green,!=,"""""",,,,,,
1136,1,0,0,,5444,,"Fatty acid, saturated",perfect,green,!=,"""""",,,,,,
1136,1,0,0,,5445,,"Fatty acid, monounsaturated",perfect,green,!=,"""""",,,,,,
1136,1,0,0,,5446,,"Fatty acid, polyunsaturated",perfect,green,!=,"""""",,,,,,
1136,1,0,0,,11249,,Ash,perfect,green,!=,"""""",,,,,,
1136,1,0,0,,11377,,Air humidity,perfect,green,!=,"""""",,,,,,
1136,1,0,0,,12016,,moisture,perfect,green,!=,"""""",,,,,,
