spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
1124,1,0,0,,11709,1138,Energy value in kJ (protein = N x 6.25),not OK,red,<,910.4,OR,>,1365.6,,,
1124,1,0,0,,11710,272,Energy value in kcal (protein = N x 6.25),not OK,red,<,217.6,OR,>,326.4,,,
1124,1,0,0,,5244,36.1,Carbohydrates*,not OK,red,<,28.88,OR,>,43.32,,,
1124,1,0,0,,5299,70.5,Sodium_10873,not OK,red,<,56.4,OR,>,84.6,,,
1124,1,0,0,g,5252,64,fibers,not OK,red,<,56,OR,>,72,,,
1124,1,0,0,,11440,,Salt from sodium,,,,,,,,,,
1124,1,0,0,,5239,,"Fat, Total",,,,,,,,,,
1124,1,0,0,,5240,,Fatty acid*,,,,,,,,,,
1124,1,0,0,,5245,,Sugar,,,,,,,,,,
1124,1,0,0,,5246,,"Sugar, total",,,,,,,,,,
1124,1,0,0,,5247,,Fructose,,,,,,,,,,
1124,1,0,0,,5248,,Glucose,,,,,,,,,,
1124,1,0,0,,5249,,Sucrose,,,,,,,,,,
1124,1,0,0,,5250,,Maltose,,,,,,,,,,
1124,1,0,0,,5251,,Lactose,,,,,,,,,,
1124,1,0,0,,5444,,"Fatty acid, saturated",,,,,,,,,,
1124,1,0,0,,5445,,"Fatty acid, monounsaturated",,,,,,,,,,
1124,1,0,0,,5446,,"Fatty acid, polyunsaturated",,,,,,,,,,
1124,1,0,0,,11423,,"Protein, N x 6.25",,,,,,,,,,
1124,1,0,0,,11249,,Ash,,,,,,,,,,
1124,1,0,0,,11377,,Air humidity,,,,,,,,,,
1124,1,0,0,,12016,,moisture,,,,,,,,,,
