Sample;SKU;Name;category;Date;LOT;Parameter;Parameter_ID;Result;Parameter_Unit;Rule_Unit;Rating;Target;"Testing Reason"
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"Fat, Total";5239;65,3;"g/100 g";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";Arsenic_10563;5284;<0,040;mg/kg;;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";Lead_10773;5286;<0,020;mg/kg;;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";Cadmium_10783;5288;<0,010;mg/kg;;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";Mercury_10943;5302;<0,010;mg/kg;;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"Fatty acid, saturated";5444;10,5;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"Fatty acid, monounsaturated";5445;15,9;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"Fatty acid, polyunsaturated";5446;38,9;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"Fatty acid, trans-*";5447;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"Fatty acid, omega-3";5448;0,2;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"Fatty acids, omega-6";5449;38,6;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"Fatty acids, omega-9";5450;15,1;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"C 4:0 Butyric acid";5451;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"C 6:0 Caproic acid";5452;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"C 8:0 Caprylic acid";5453;0,2;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"C 10:0 Capric acid";5454;0,1;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"C 11:0 Undecanoic acid";5455;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"C 12:0 Lauric acid";5456;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"C 13:0 Tridecanoic acid";5457;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"C 14:0 Myristic acid";5458;0,1;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"C 14:1 Myristoleic acid";5459;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06218;N8771CDE;"Bio Schwarzkümmelöl  Softgel (cube gel)";;18.06.2025;"L05505, Batch: 25-BSS-001";"C 15:0 Pentadecanoic acid";5460;<0,1;"g/100 g fat";;"not rated";;Newsletter
