Sample;SKU;Name;category;Date;LOT;Parameter;Parameter_ID;Result;Parameter_Unit;Rule_Unit;Rating;Target;"Testing Reason"
25-05917;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";;15.05.2025;11429;"Anisidine value";5500;0,1;;;"not rated";;"Customer service"
25-05917;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";;15.05.2025;11429;"Number of peroxides";5501;4,9;"meq O2/kg fat";;"not rated";;"Customer service"
25-05917;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";;15.05.2025;11429;"Totox number";11677;9,8;;;"not rated";;"Customer service"
25-05072;5191;"Vitamins II Omega Essentials";;18.10.2022;NA;"Peroxide value";10084;"Apr 57";;;"not rated";;
25-05072;5191;"Vitamins II Omega Essentials";;18.10.2022;NA;"Anisidine Value";11794;4.8;;;"not rated";;
25-03574;5191;"Sunday Essentials Vitamins II Omega 07408 beta Carotin 111124";"All / Saleable / Supplements";25.10.2024;L07408;"β-carotene ";11659;6,19;;;"not rated";;
25-03382;5191;"Essentials Vitamins II Omega 04417 beta Carotin Astaxanthin 120724";"All / Saleable / Supplements";08.07.2024;L04417;"Astaxanthin ";11504;6,19;;;"not rated";;
25-03382;5191;"Essentials Vitamins II Omega 04417 beta Carotin Astaxanthin 120724";"All / Saleable / Supplements";08.07.2024;L04417;"β-carotene ";11659;4,38;;;"not rated";;
25-02788;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";24.09.2024;L04417;Beta-carotene;11260;1,2;;;"not rated";;
25-02788;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";24.09.2024;L04417;"Daily portion";11297;2;;;"not rated";;
25-02788;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";24.09.2024;L04417;"Weight per dosage form_34954";11481;1,4;;;"not rated";;
25-02788;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";24.09.2024;L04417;Astaxanthin;11737;4;;;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"Fat, Total";5239;67;"g/100 g";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;Arsenic_10563;5284;<0,040;mg/kg;;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;Lead_10773;5286;<0,020;mg/kg;;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;Cadmium_10783;5288;<0,010;mg/kg;;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;Mercury_10943;5302;<0,010;mg/kg;;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"Fatty acid, saturated";5444;18,6;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"Fatty acid, monounsaturated";5445;13,3;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"Fatty acid, polyunsaturated";5446;35;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"Fatty acid, omega-3";5448;26,9;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"Fatty acids, omega-6";5449;8,2;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"Fatty acids, omega-9";5450;11,8;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 4:0 Butyric acid";5451;<0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 6:0 Caproic acid";5452;<0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 8:0 Caprylic acid";5453;2,7;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 10:0 Capric acid";5454;1,7;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 11:0 Undecanoic acid";5455;<0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 12:0 Lauric acid";5456;0,2;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 13:0 Tridecanoic acid";5457;<0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 14:0 Myristic acid";5458;0,6;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 14:1 Myristoleic acid";5459;<0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 15:0 Pentadecanoic acid";5460;0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 15:1 cis 10-pentadecenoic acid";5461;<0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 16:0 Palmitic acid";5462;10,7;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 16:1 Palmitoleic acid";5463;0,7;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 16:2 Hexadecadienoic acid";5464;<0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 16:3 Hexadecatrienoic acid";5465;<0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 16:4 Hexadecatetraenoic acid";5466;<0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 17:0 Heptadecanoic acid";5467;<0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 17:1 Heptadecenoic acid";5468;<0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 18:0 Stearic acid";5469;1,7;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 18:1 Oleic acid";5470;11,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 18:1 Petroselinic acid";5471;<0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 18:1 cis 11-octadecenoic acid";5472;0,8;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 18:2 Linoleic acid (o-6)";5473;5,8;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 18:3 Linolenic acid (o-4)";5475;<0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 18:4 Stearidonic acid (o-3)";5477;0,1;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 20:0 Arachidic acid";5478;0,4;"g/100 g fat";;"not rated";;
25-02413;5191;"SUNDAY ESSENTIALS, VITAMINS II OMEGA";"All / Saleable / Supplements";09.07.2024;L04417;"C 20:1 Eicosenoic acid";5479;0,4;"g/100 g fat";;"not rated";;
