Sample;SKU;Name;category;Date;LOT;Parameter;Parameter_ID;Result;Parameter_Unit;Rule_Unit;Rating;Target;"Testing Reason"
25-06594;N8130CDE;"Vegan Omega-3 EPA 400mg + DHA 225mg";;20.08.2025;6418;"Anisidine value";5500;9,7;;;"not rated";;Stability
25-06594;N8130CDE;"Vegan Omega-3 EPA 400mg + DHA 225mg";;20.08.2025;6418;"Number of peroxides";5501;7,1;"meq O2/kg fat";;"not rated";;Stability
25-06594;N8130CDE;"Vegan Omega-3 EPA 400mg + DHA 225mg";;20.08.2025;6418;"Totox number";11677;23,9;;;"not rated";;Stability
25-02441;N8130CDE;"OMEGA 3 EPA 400MG + DHA VEGAN";;11.07.2024;6418;"Anisidine value";5500;3,4;;;"not rated";;
25-02441;N8130CDE;"OMEGA 3 EPA 400MG + DHA VEGAN";;11.07.2024;6418;"Number of peroxides";5501;1,2;"meq O2/kg fat";;"not rated";;
25-02441;N8130CDE;"OMEGA 3 EPA 400MG + DHA VEGAN";;11.07.2024;6418;"Totox number";11677;5,8;;;"not rated";;
25-02441;N8130CDE;"OMEGA 3 EPA 400MG + DHA VEGAN";;11.07.2024;6418;"Totox number";11677;5,8;;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"Fat, Total";5239;63,1;"g/100 g";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Aluminum_18343;5282;1,1;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Antimony_20083;5283;<0,050;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Arsenic_10563;5284;<0,040;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Barium_20483;5285;0,21;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Lead_10773;5286;<0,020;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Boron_27363;5287;<10;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Cadmium_10783;5288;<0,010;mg/kg;;"not rated";;
