Sample;SKU;Name;category;Date;LOT;Parameter;Parameter_ID;Result;Parameter_Unit;Rule_Unit;Rating;Target;"Testing Reason"
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Titan_29883;5308;3,7;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Uranium_32509;5309;<0,010;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Vanadium_30383;5310;<0,050;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Zinc_10913;5311;<0,50;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Tin_10923;5312;<0,040;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Acetone;5434;<1,0;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Methanol;5435;3,4;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;n-hexane;5437;<1,0;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Propan-2-ol;5438;41,2;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;"Methyl acetate";5439;<1,0;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;"Ethyl acetate";5440;<1,0;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;"Butyl acetate";5441;<1,0;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Dichloromethane;5443;<0,10;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;"Ethyl methyl ketone (= methyl ethyl ketone (MEK))";11319;<1,0;;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Ethanol;11679;<1,0;;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;"Capsule weight / tablet weight";11680;0,68;;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;"ICP screening";11686;"see below";;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;"Coenzyme Q10 (ubiquinone)";11734;98,6;;;"not rated";;
25-00307;5038;"Q10 Ubiquinol 100mg";;23.06.2021;NA;"Capsule weight / tablet weight";11680;0,75;;;"not rated";;
25-00307;5038;"Q10 Ubiquinol 100mg";;23.06.2021;NA;"Coenzyme Q10 (ubiquinone)";11734;1320;;;"not rated";;
25-00081;5038;"Q10 Ubiquinol 100 mg";;11.02.2020;NA;"Capsule weight / tablet weight";11680;0,77;;;"not rated";;
25-00081;5038;"Q10 Ubiquinol 100 mg";;11.02.2020;NA;"Coenzyme Q10 (ubiquinone)";11734;106;;;"not rated";;
