spec_id,column,DDF_unit,inverse,DDF_target_value,param_name,parametertype_id,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,show,text,translations
974,0,,0,>0,C 22:1 Docosenoic acid (incl. isomers),5488,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,thereof C 22:1 erucic acid,5489,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 22:2 Docosadienoic acid (o-6),5490,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 22:4 Docosatetraenoic acid (o-6),5491,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 22:5 Docosapentaenoic acid (o-3),5492,perfect,green,!=,"""""",,,,,1,,
974,0,,0,350,C 22:6 Docosahexaenoic acid (o-3),5493,perfect,green,>=,315,AND,<=,437.5,,1,,
974,0,,0,350,C 22:6 Docosahexaenoic acid (o-3),5493,OK,orange,>=,280,AND,<,315,,1,,
974,0,,0,350,C 22:6 Docosahexaenoic acid (o-3),5493,OK,orange,>,437.5,AND,<=,525,,1,,
974,0,,0,350,C 22:6 Docosahexaenoic acid (o-3),5493,not OK,red,>,525,OR,<,280,,1,,
974,0,,0,>0,C 23:0 Tricosanoic acid,5494,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 24:0 Lignoceric acid,5495,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 24:1 Nervonic acid,5496,perfect,green,!=,"""""",,,,,1,,
974,0,,0,,Anisidine value,5500,perfect,green,!=,"""""",,,,,1,,
974,0,,0,,Number of peroxides,5501,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,Vitamin K2 / Menaquinone-4 (MK4),5506,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,Vitamin K2 / Menaquinone-7 (MK7),5507,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,Vitamin K2 / menaquinone (MK7)*,5508,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,Vitamin D3*_8363,5512,perfect,green,!=,"""""",,,,,1,,
974,0,,0,8,Vitamin E*_8373,5513,perfect,green,>=,7.2,AND,<=,10,,1,,
974,0,,0,8,Vitamin E*_8373,5513,OK,orange,>=,6.4,AND,<,7.2,,1,,
974,0,,0,8,Vitamin E*_8373,5513,OK,orange,>,10,AND,<=,12,,1,,
974,0,,0,8,Vitamin E*_8373,5513,not OK,red,>,12,OR,<,6.4,,1,,
974,0,,0,≤1x 10² ,Enterobacteriaceae,5548,perfect,green,<=,30,,,,,1,,
974,0,,0,≤1x 10² ,Enterobacteriaceae,5548,OK,orange,>,30,AND,<=,100,,1,,
974,0,,0,≤1x 10² ,Enterobacteriaceae,5548,not OK,red,>,100,,,,,1,,
974,0,,0,,Gram-negative bacteria,5549,perfect,green,<=,30,,,,,1,,
974,0,,0,,Gram-negative bacteria,5549,OK,orange,>,30,AND,<=,100,,1,,
974,0,,0,,Gram-negative bacteria,5549,not OK,red,>,100,,,,,1,,
974,0,,0,≤1x 10,"Staphylococci, coag. positive",5550,perfect,green,<=,3,,,,,1,,
974,0,,0,≤1x 10,"Staphylococci, coag. positive",5550,OK,orange,>,3,AND,<=,10,,1,,
974,0,,0,≤1x 10,"Staphylococci, coag. positive",5550,not OK,red,>,10,,,,,1,,
974,0,,0,≤1x 10,"E. coli, after enrichment",5551,perfect,green,<=,3,,,,,1,,
974,0,,0,≤1x 10,"E. coli, after enrichment",5551,OK,orange,>,3,AND,<=,10,,1,,
974,0,,0,≤1x 10,"E. coli, after enrichment",5551,not OK,red,>,10,,,,,1,,
974,0,,0,≤1x 10²,Total yeasts / molds,5552,perfect,green,<=,30,,,,,1,,
974,0,,0,≤1x 10²,Total yeasts / molds,5552,OK,orange,>,30,AND,<=,100,,1,,
974,0,,0,≤1x 10²,Total yeasts / molds,5552,not OK,red,>,100,,,,,1,,
974,0,,0,≤1x 10²,Yeasts,5553,perfect,green,<=,30,,,,,1,,
974,0,,0,≤1x 10²,Yeasts,5553,OK,orange,>,30,AND,<=,100,,1,,
974,0,,0,≤1x 10²,Yeasts,5553,not OK,red,>,100,,,,,1,,
974,0,,0,≤1x 10²,Molds,5554,perfect,green,<=,30,,,,,1,,
974,0,,0,≤1x 10²,Molds,5554,OK,orange,>,30,AND,<=,100,,1,,
974,0,,0,≤1x 10²,Molds,5554,not OK,red,>,100,,,,,1,,
974,0,,0,absent in 25 g,Salmonella*,5555,perfect,green,<=,0,,,,,1,,
974,0,,0,absent in 25 g,Salmonella*,5555,not OK,red,>,0,,,,,1,,
974,0,,0,0.025,"Vitamin K2, MK4/MK7",11479,perfect,green,>=,0.0225,AND,<=,0.03125,,1,,
974,0,,0,0.025,"Vitamin K2, MK4/MK7",11479,OK,orange,>=,0.02,AND,<,0.0225,,1,,
974,0,,0,0.025,"Vitamin K2, MK4/MK7",11479,OK,orange,>,0.03125,AND,<=,0.0375,,1,,
974,0,,0,0.025,"Vitamin K2, MK4/MK7",11479,not OK,red,>,0.0375,OR,<,0.02,,1,,
974,0,,0,<10,Totox number,11677,perfect,green,<=,10,,,,,1,,
974,0,,0,<10,Totox number,11677,OK,orange,>,10,AND,<=,26,,1,,
974,0,,0,<10,Totox number,11677,not OK,red,>,26,,,,,1,,
974,0,,0,≤1×10⁴ ,"Total Plate Count, Fixed",11921,perfect,green,<=,3000,,,,,1,,
974,0,,0,≤1×10⁴ ,"Total Plate Count, Fixed",11921,OK,orange,>,3000,AND,<=,10000,,1,,
974,0,,0,≤1×10⁴ ,"Total Plate Count, Fixed",11921,not OK,red,>,10000,,,,,1,,
974,0,,0,,Fatty acid spectrum,11927,perfect,green,!=,"""""",,,,,1,,
