DDF_GBAID,name,translations_en_name,group_id,DDF_days,DDF_price,description,einheit,translations_en_einheit,existing
39882,Fettsäuren (Summe) - aus NC-Fett,Fatty acids (total) - from non-constituent fat,207,,,,,,
8813,Zuckeralkohole,Sugar alcohols (Polyols),207,,,,,,
38619,"Zuckeralkohole, Summe, fest","Sugar alcohols, total, solid",207,,,,,,
6023,Isomalt,Isomalt,207,,,,,,
6383,Maltit,Maltitol,207,,,,,,
6423,Mannit,Mannitol,207,,,,,,
6403,"Laktit, fest","Lactitol, solid",207,,,,,,
7803,Sorbit,Sorbitol,207,,,,,,
8823,Xylit,Xylitol,207,,,,,,
